algorithm,input_type,n,trial,time_ns,max_depth,comparisons,moves,recursive_calls
MergeSort,random,200,1,106810,5,1541,2388,31
MergeSort,random,200,2,87173,5,1510,2366,31
MergeSort,random,200,3,86933,5,1518,2361,31
MergeSort,random,200,4,76984,5,1473,2316,31
MergeSort,random,200,5,35316,5,1499,2343,31
MergeSort,random,2000,1,316993,8,23084,37498,255
MergeSort,random,2000,2,320299,8,22546,36950,255
MergeSort,random,2000,3,384820,8,22755,37189,255
MergeSort,random,2000,4,348953,8,22801,37198,255
MergeSort,random,2000,5,303357,8,22821,37244,255
MergeSort,random,20000,1,4713927,12,275835,501542,4095
MergeSort,random,20000,2,5494257,12,276321,502004,4095
MergeSort,random,20000,3,5014911,12,275987,501692,4095
MergeSort,random,20000,4,5143370,12,276479,502286,4095
MergeSort,random,20000,5,5087416,12,275811,501476,4095
MergeSort,sorted,200,1,11581,5,199,184,31
MergeSort,sorted,200,2,8566,5,199,184,31
MergeSort,sorted,200,3,6392,5,199,184,31
MergeSort,sorted,200,4,7645,5,199,184,31
MergeSort,sorted,200,5,5660,5,199,184,31
MergeSort,sorted,2000,1,27842,8,1999,1872,255
MergeSort,sorted,2000,2,22282,8,1999,1872,255
MergeSort,sorted,2000,3,26380,8,1999,1872,255
MergeSort,sorted,2000,4,18584,8,1999,1872,255
MergeSort,sorted,2000,5,21600,8,1999,1872,255
MergeSort,sorted,20000,1,382826,12,19999,17952,4095
MergeSort,sorted,20000,2,288510,12,19999,17952,4095
MergeSort,sorted,20000,3,185317,12,19999,17952,4095
MergeSort,sorted,20000,4,178143,12,19999,17952,4095
MergeSort,sorted,20000,5,181429,12,19999,17952,4095
MergeSort,reverse,200,1,20738,5,1566,2924,31
MergeSort,reverse,200,2,32771,5,1564,2910,31
MergeSort,reverse,200,3,12293,5,1564,2914,31
MergeSort,reverse,200,4,12443,5,1568,2919,31
MergeSort,reverse,200,5,13575,5,1561,2916,31
MergeSort,reverse,2000,1,408294,8,21728,44261,255
MergeSort,reverse,2000,2,304940,8,21723,44279,255
MergeSort,reverse,2000,3,491089,8,21718,44265,255
MergeSort,reverse,2000,4,206256,8,21730,44289,255
MergeSort,reverse,2000,5,327693,8,21736,44309,255
MergeSort,reverse,20000,1,3769641,12,199477,543568,4095
MergeSort,reverse,20000,2,4045367,12,199402,543518,4095
MergeSort,reverse,20000,3,3457798,12,199431,543554,4095
MergeSort,reverse,20000,4,3475812,12,199410,543561,4095
MergeSort,reverse,20000,5,3679763,12,199415,543488,4095
MergeSort,duplicate-heavy,200,1,24887,5,1476,2323,31
MergeSort,duplicate-heavy,200,2,21440,5,1426,2287,31
MergeSort,duplicate-heavy,200,3,20939,5,1471,2335,31
MergeSort,duplicate-heavy,200,4,21641,5,1411,2288,31
MergeSort,duplicate-heavy,200,5,25668,5,1427,2285,31
MergeSort,duplicate-heavy,2000,1,321572,8,21619,36375,255
MergeSort,duplicate-heavy,2000,2,311803,8,21471,36326,255
MergeSort,duplicate-heavy,2000,3,597728,8,21738,36577,255
MergeSort,duplicate-heavy,2000,4,247383,8,21306,36169,255
MergeSort,duplicate-heavy,2000,5,355325,8,21685,36593,255
MergeSort,duplicate-heavy,20000,1,4790791,12,264168,497331,4095
MergeSort,duplicate-heavy,20000,2,4251232,12,263783,497482,4095
MergeSort,duplicate-heavy,20000,3,3999151,12,264998,497931,4095
MergeSort,duplicate-heavy,20000,4,4288441,12,263888,497381,4095
MergeSort,duplicate-heavy,20000,5,4072116,12,264244,497609,4095
QuickSort,random,200,1,95819,4,2441,2156,42
QuickSort,random,200,2,29285,4,2251,1834,35
QuickSort,random,200,3,29335,4,2357,1994,39
QuickSort,random,200,4,29045,5,2309,2072,35
QuickSort,random,200,5,31800,5,2530,2012,32
QuickSort,random,2000,1,441345,7,45816,42004,378
QuickSort,random,2000,2,438670,7,38993,38092,360
QuickSort,random,2000,3,408895,7,37183,33592,377
QuickSort,random,2000,4,412702,7,37686,33548,375
QuickSort,random,2000,5,419685,7,36506,33608,375
QuickSort,random,20000,1,5563797,9,488163,461820,3659
QuickSort,random,20000,2,6264096,8,529362,511060,3692
QuickSort,random,20000,3,6474090,9,536621,518646,3675
QuickSort,random,20000,4,5468779,9,510036,483632,3673
QuickSort,random,20000,5,4957443,9,525652,486322,3660
QuickSort,sorted,200,1,24746,5,2363,1564,38
QuickSort,sorted,200,2,22873,5,2653,1750,39
QuickSort,sorted,200,3,42880,4,2611,1694,42
QuickSort,sorted,200,4,21721,5,2414,1534,37
QuickSort,sorted,200,5,23263,4,2601,1746,38
QuickSort,sorted,2000,1,340446,7,40721,28210,375
QuickSort,sorted,2000,2,333754,7,36891,23206,364
QuickSort,sorted,2000,3,546763,7,40408,29528,372
QuickSort,sorted,2000,4,350856,7,40558,29462,363
QuickSort,sorted,2000,5,521685,7,40785,26680,374
QuickSort,sorted,20000,1,3792193,9,500377,352314,3652
QuickSort,sorted,20000,2,3190708,9,505833,356722,3684
QuickSort,sorted,20000,3,1895806,9,523647,362250,3713
QuickSort,sorted,20000,4,1833610,9,520939,360190,3659
QuickSort,sorted,20000,5,1815636,9,515091,342168,3714
QuickSort,reverse,200,1,15019,4,2868,2220,40
QuickSort,reverse,200,2,13134,4,2272,1384,41
QuickSort,reverse,200,3,14137,4,2922,2596,37
QuickSort,reverse,200,4,11913,4,2206,1380,37
QuickSort,reverse,200,5,13586,4,2931,1852,37
QuickSort,reverse,2000,1,146043,7,36448,25200,360
QuickSort,reverse,2000,2,150561,7,38536,27684,375
QuickSort,reverse,2000,3,209813,7,42132,34936,373
QuickSort,reverse,2000,4,154579,7,39382,26008,385
QuickSort,reverse,2000,5,219611,7,40948,30112,379
QuickSort,reverse,20000,1,1945118,9,536634,407778,3656
QuickSort,reverse,20000,2,1903290,9,530431,393640,3665
QuickSort,reverse,20000,3,1818992,9,518150,346230,3720
QuickSort,reverse,20000,4,1756896,9,490130,354926,3664
QuickSort,reverse,20000,5,1873334,10,538751,390876,3657
QuickSort,duplicate-heavy,200,1,7975,2,1002,852,3
QuickSort,duplicate-heavy,200,2,7534,3,1012,886,4
QuickSort,duplicate-heavy,200,3,7323,2,1016,926,4
QuickSort,duplicate-heavy,200,4,7644,2,1229,1054,3
QuickSort,duplicate-heavy,200,5,7664,2,1132,1184,3
QuickSort,duplicate-heavy,2000,1,58018,2,9832,8226,3
QuickSort,duplicate-heavy,2000,2,62557,2,15297,13282,4
QuickSort,duplicate-heavy,2000,3,63859,2,14298,13008,3
QuickSort,duplicate-heavy,2000,4,59832,2,10907,9832,2
QuickSort,duplicate-heavy,2000,5,68719,2,11194,9184,3
QuickSort,duplicate-heavy,20000,1,677066,2,103706,92052,3
QuickSort,duplicate-heavy,20000,2,610852,2,114203,116108,2
QuickSort,duplicate-heavy,20000,3,646900,2,111992,96024,3
QuickSort,duplicate-heavy,20000,4,556931,2,123928,99780,5
QuickSort,duplicate-heavy,20000,5,555409,2,106336,84474,4
DeterministicSelect,random,200,1,66725,6,742,1159,11
DeterministicSelect,random,200,2,125144,6,1386,2153,26
DeterministicSelect,random,200,3,109074,6,1384,2165,30
DeterministicSelect,random,200,4,131586,7,1377,2147,24
DeterministicSelect,random,200,5,101369,6,1371,2130,28
DeterministicSelect,random,2000,1,709267,11,15604,24387,116
DeterministicSelect,random,2000,2,256430,10,15636,24377,119
DeterministicSelect,random,2000,3,201607,9,14114,22078,84
DeterministicSelect,random,2000,4,220963,10,15514,24298,102
DeterministicSelect,random,2000,5,237624,10,15956,25007,112
DeterministicSelect,random,20000,1,2334287,13,165291,259276,550
DeterministicSelect,random,20000,2,4921886,13,166853,261731,523
DeterministicSelect,random,20000,3,1765973,13,164075,257799,524
DeterministicSelect,random,20000,4,1721049,13,162111,253976,484
DeterministicSelect,random,20000,5,1828531,13,166985,262254,510
DeterministicSelect,sorted,200,1,14026,7,1077,1738,32
DeterministicSelect,sorted,200,2,10960,7,1078,1738,32
DeterministicSelect,sorted,200,3,11452,6,1036,1677,30
DeterministicSelect,sorted,200,4,10019,7,1075,1736,32
DeterministicSelect,sorted,200,5,9998,7,1076,1737,32
DeterministicSelect,sorted,2000,1,117329,10,11746,19130,117
DeterministicSelect,sorted,2000,2,106730,10,11762,19162,118
DeterministicSelect,sorted,2000,3,106069,10,11638,18998,110
DeterministicSelect,sorted,2000,4,104485,9,11724,19107,115
DeterministicSelect,sorted,2000,5,114184,10,11626,18955,110
DeterministicSelect,sorted,20000,1,1118012,13,122931,200678,415
